50936	122.83 	45.63 	155.3 	12.0 	12.0 	14.8 	17.0 	17.0 	14.0 	12.0 	10.7 	11.7 	13.7 	13.5 	12.0 
50937	121.47 	45.05 	249.9 	18.3 	17.0 	18.0 	19.0 	17.6 	15.0 	13.7 	12.7 	14.1 	16.7 	17.0 	17.3 
50939	122.82 	45.33 	150.8 	12.0 	12.0 	15.0 	17.0 	16.0 	14.0 	13.7 	12.0 	12.3 	14.3 	13.3 	12.0 
50940	123.17 	45.85 	141.1 	10.8 	11.7 	15.0 	16.7 	16.0 	13.9 	11.6 	11.0 	11.7 	14.0 	13.0 	11.3 
50945	124.27 	45.50 	137.6 	11.0 	12.7 	14.8 	16.0 	15.9 	13.0 	11.7 	11.0 	11.7 	14.0 	13.0 	11.7 
50946	124.83 	45.18 	139.8 	10.0 	10.0 	13.0 	15.1 	15.0 	13.0 	11.0 	11.0 	11.3 	12.3 	12.3 	10.2 
50948	124.02 	45.00 	146.3 	10.7 	11.6 	14.1 	15.3 	16.0 	13.0 	12.0 	11.0 	11.0 	13.0 	12.0 	10.7 
50949	124.87 	45.08 	136.2 	9.7 	10.0 	13.0 	15.0 	14.7 	11.0 	10.3 	9.3 	9.9 	12.0 	10.7 	9.3 
50950	125.25 	45.70 	148.7 	12.0 	12.9 	17.0 	20.0 	20.0 	15.3 	13.0 	13.0 	13.7 	15.3 	15.0 	12.0 
50953	126.77 	45.75 	142.3 	11.0 	12.0 	15.0 	17.0 	18.0 	13.7 	12.0 	11.0 	12.0 	13.7 	12.7 	11.3 
50954	125.08 	45.50 	127.5 	12.0 	12.0 	16.2 	19.0 	19.0 	14.6 	13.0 	13.0 	13.3 	15.0 	14.0 	12.3 
50955	126.30 	45.38 	166.4 	9.0 	9.7 	12.7 	15.0 	15.0 	11.0 	9.7 	9.0 	10.3 	11.7 	10.9 	9.3 
50956	126.57 	45.93 	118.3 	8.3 	9.0 	11.7 	13.0 	13.0 	11.1 	9.6 	9.7 	10.0 	10.4 	10.3 	8.5 
50958	126.95 	45.52 	174.3 	11.0 	11.7 	13.1 	17.0 	17.0 	12.9 	11.0 	10.0 	11.6 	13.0 	13.0 	11.0 
50960	127.45 	45.78 	192.2 	11.3 	12.0 	14.0 	15.2 	15.3 	12.7 	11.7 	11.0 	12.3 	13.0 	13.0 	11.8 
50962	128.03 	45.95 	112.1 	11.0 	14.0 	15.0 	15.3 	15.0 	13.0 	12.0 	11.0 	12.0 	13.3 	13.7 	12.0 
50963	128.73 	45.97 	108.6 	15.0 	15.3 	17.0 	17.0 	17.7 	15.3 	13.1 	12.3 	13.0 	15.7 	16.3 	14.9 
